match_id,match_number,stage,home_team,home_code,home_flag,away_team,away_code,away_flag,group,date,home_score_real,away_score_real,result_real,shootout_winner,pred_home_win,pred_draw,pred_away_win
46,46,Groupe L,Angleterre,ENG,🏴󠁧󠁢󠁥󠁮󠁧󠁿,Ghana,GHA,🇬🇭,L,Mardi 23 juin (22 heures),,,,,,,
47,47,Groupe L,Panama,PAN,🇵🇦,Croatie,CRO,🇭🇷,L,Mercredi 24 juin (1 heure du matin),,,,,,,
48,48,Groupe K,Colombie,COL,🇨🇴,RD Congo,COD,🇨🇩,K,Mercredi 24 juin (4 heures),,,,,,,
49,49,Groupe B,Suisse,SUI,🇨🇭,Canada,CAN,🇨🇦,B,Mercredi 24 juin (21 heures),,,,,,,
50,50,Groupe B,Bosnie-Herzégovine,BIH,🇧🇦,Qatar,QAT,🇶🇦,B,Mercredi 24 juin (21 heures),,,,,,,
51,51,Groupe C,Écosse,SCO,🏴󠁧󠁢󠁳󠁣󠁴󠁿,Brésil,BRA,🇧🇷,C,Jeudi 25 juin (minuit),,,,,,,
52,52,Groupe C,Maroc,MAR,🇲🇦,Haïti,HAI,🇭🇹,C,Jeudi 25 juin (minuit),,,,,,,
53,53,Groupe A,Tchéquie,CZE,🇨🇿,Mexique,MEX,🇲🇽,A,Jeudi 25 juin (3 heures),,,,,,,
54,54,Groupe A,Afrique du Sud,RSA,🇿🇦,République de Corée,KOR,🇰🇷,A,Jeudi 25 juin (3 heures),,,,,,,
55,55,Groupe E,Curaçao,CUR,🇨🇼,Côte d’Ivoire,CIV,🇨🇮,E,Jeudi 25 juin (22 heures),,,,,,,
56,56,Groupe E,Équateur,ECU,🇪🇨,Allemagne,GER,🇩🇪,E,Jeudi 25 juin (22 heures),,,,,,,
57,57,Groupe F,Japon,JPN,🇯🇵,Suède,SWE,🇸🇪,F,Vendredi 26 juin (1 heure),,,,,,,
58,58,Groupe F,Tunisie,TUN,🇹🇳,Pays-Bas,NED,🇳🇱,F,Vendredi 26 juin (1 heure),,,,,,,
59,59,Groupe D,Turquie,TUR,🇹🇷,États-Unis,USA,🇺🇸,D,Vendredi 26 juin (4 heures),,,,,,,
60,60,Groupe D,Paraguay,PAR,🇵🇾,Australie,AUS,🇦🇺,D,Vendredi 26 juin (4 heures),,,,,,,
61,61,Groupe I,Norvège,NOR,🇳🇴,France,FRA,🇫🇷,I,Vendredi 26 juin (21 heures),,,,,,,
62,62,Groupe I,Sénégal,SEN,🇸🇳,Irak,IRQ,🇮🇶,I,Vendredi 26 juin (21 heures),,,,,,,
63,63,Groupe H,Cap Vert,CPV,🇨🇻,Arabie Saoudite,KSA,🇸🇦,H,Samedi 27 juin (2 heures),,,,,,,
64,64,Groupe H,Uruguay,URU,🇺🇾,Espagne,ESP,🇪🇸,H,Samedi 27 juin (2 heures),,,,,,,
65,65,Groupe G,Égypte,EGY,🇪🇬,Iran,IRN,🇮🇷,G,Samedi 27 juin (5 heures),,,,,,,
66,66,Groupe G,Nouvelle-Zélande,NZL,🇳🇿,Belgique,BEL,🇧🇪,G,Samedi 27 juin (5 heures),,,,,,,
67,67,Groupe L,Panama,PAN,🇵🇦,Angleterre,ENG,🏴󠁧󠁢󠁥󠁮󠁧󠁿,L,Samedi 27 juin (23 heures),,,,,,,
68,68,Groupe L,Croatie,CRO,🇭🇷,Ghana,GHA,🇬🇭,L,Samedi 27 juin (23 heures),,,,,,,
69,69,Groupe K,Colombie,COL,🇨🇴,Portugal,POR,🇵🇹,K,Dimanche 28 juin (1h30),,,,,,,
70,70,Groupe K,RD Congo,COD,🇨🇩,Ouzbékistan,UZB,🇺🇿,K,Dimanche 28 juin (1h30),,,,,,,
71,71,Groupe J,Algérie,ALG,🇩🇿,Autriche,AUT,🇦🇹,J,Dimanche 28 juin (4 heures),,,,,,,
72,72,Groupe J,Jordanie,JOR,🇯🇴,Argentine,ARG,🇦🇷,J,Dimanche 28 juin (4 heures),,,,,,,
